,id,keywords
100,776512,"[{'id': 236, 'name': 'suicide'}, {'id': 1252, 'name': 'suicide attempt'}, {'id': 1419, 'name': 'gun'}, {'id': 5707, 'name': 'childhood trauma'}, {'id': 12648, 'name': 'bromance'}, {'id': 182536, 'name': 'suicide pact'}, {'id': 212642, 'name': 'abusive father'}]"
101,776523,"[{'id': 3687, 'name': 'graduation'}, {'id': 11710, 'name': 'high school graduation'}, {'id': 263237, 'name': 'covid-19'}]"
102,776542,[]
103,776554,[]
104,785910,[]
105,785913,[]
106,785920,"[{'id': 6564, 'name': 'terminal illness'}, {'id': 34079, 'name': 'death'}]"
107,785927,"[{'id': 2878, 'name': 'scientific study'}, {'id': 6783, 'name': 'orphanage'}, {'id': 8781, 'name': 'foreign aid'}, {'id': 14673, 'name': 'disease'}, {'id': 14674, 'name': 'vaccine'}, {'id': 193005, 'name': 'vaccination'}, {'id': 212416, 'name': 'diarrhea'}, {'id': 262891, 'name': 'benin'}]"
108,785932,"[{'id': 641, 'name': 'single parent'}, {'id': 9957, 'name': 'loneliness'}, {'id': 14768, 'name': 'single mother'}, {'id': 159315, 'name': 'mental health'}, {'id': 163080, 'name': 'finland'}]"
109,785941,[]
110,776151,"[{'id': 9673, 'name': 'love'}, {'id': 10514, 'name': 'muay thai'}, {'id': 14639, 'name': 'thug'}, {'id': 14955, 'name': 'fighting'}, {'id': 261053, 'name': 'human dignity'}]"
111,779179,[]
112,778996,[]
113,778568,[]
114,791526,[]
115,791553,[]
116,458220,"[{'id': 1013, 'name': 'homophobia'}, {'id': 1415, 'name': 'small town'}, {'id': 11336, 'name': 'young boy'}, {'id': 156121, 'name': 'ex-con'}, {'id': 167186, 'name': 'house trailer'}, {'id': 190830, 'name': 'bullied'}, {'id': 234280, 'name': 'irresponsible parent'}, {'id': 236626, 'name': 'adult child friendship'}, {'id': 238077, 'name': 'guardianship'}, {'id': 274534, 'name': 'ex convict'}, {'id': 295694, 'name': 'drug addict'}]"
117,742843,"[{'id': 13151, 'name': 'drawing'}, {'id': 235636, 'name': 'family life'}, {'id': 249237, 'name': 'interpersonal relationships'}, {'id': 263548, 'name': 'short film'}, {'id': 282735, 'name': 'children'}, {'id': 291586, 'name': 'arts and artists'}]"
118,759816,"[{'id': 1576, 'name': 'technology'}, {'id': 5773, 'name': 'monogamy'}, {'id': 13073, 'name': 'fear'}, {'id': 155870, 'name': 'polyamory'}, {'id': 161919, 'name': 'adult animation'}, {'id': 267122, 'name': 'sex'}]"
119,805991,[]
120,821348,"[{'id': 9253, 'name': 'slapstick'}, {'id': 244123, 'name': 'vertical cinema'}]"
121,843912,[]
122,826154,[]
123,819346,"[{'id': 252606, 'name': 'russian invasion of ukraine'}, {'id': 272265, 'name': 'ukraine'}, {'id': 279122, 'name': 'donetsk international airport'}]"
124,799185,[]
125,822335,"[{'id': 5708, 'name': 'gospel'}]"
126,808773,[]
127,799769,[]
128,799304,[]
129,688618,[]
130,794569,[]
131,794574,[]
132,792905,"[{'id': 208003, 'name': 'layoffs'}, {'id': 263237, 'name': 'covid-19'}]"
133,792911,[]
134,809786,[]
135,792166,[]
136,792567,[]
137,792598,[]
138,791366,[]
139,791390,[]
140,791755,[]
141,791757,[]
142,791793,[]
143,796713,[]
144,800595,[]
145,785365,[]
146,797179,[]
147,847313,[]
148,722805,"[{'id': 818, 'name': 'based on novel or book'}, {'id': 9748, 'name': 'revenge'}]"
149,735476,"[{'id': 40870, 'name': 'race'}]"
150,879501,"[{'id': 478, 'name': 'china'}, {'id': 1576, 'name': 'technology'}, {'id': 2106, 'name': 'cold war'}, {'id': 10481, 'name': 'tension'}, {'id': 169058, 'name': 'trade'}, {'id': 221603, 'name': 'sanctions'}, {'id': 240871, 'name': 'blockchain'}]"
151,868563,[]
152,779006,[]
153,782269,[]
154,722913,"[{'id': 6898, 'name': 'quarantine'}, {'id': 9673, 'name': 'love'}, {'id': 12999, 'name': 'black and white'}, {'id': 14530, 'name': 'director'}, {'id': 14964, 'name': 'drugs'}, {'id': 33490, 'name': 'filmmaking'}, {'id': 234041, 'name': 'one location'}, {'id': 235736, 'name': 'film director'}, {'id': 241804, 'name': 'toxic relationship'}, {'id': 265603, 'name': 'two-hander'}]"
155,719770,[]
156,785941,[]
157,778996,[]
158,791135,[]
159,782269,[]
160,794694,[]
161,790041,[]
162,791240,[]
163,791242,"[{'id': 7507, 'name': 'collage'}, {'id': 15216, 'name': 'avant-garde'}, {'id': 54169, 'name': 'stoner'}, {'id': 207531, 'name': 'ambient'}, {'id': 211057, 'name': 'trippy'}, {'id': 245597, 'name': 'stoner movie'}]"
164,793896,[]
165,789474,[]
166,791038,"[{'id': 11477, 'name': 'anthropomorphism'}, {'id': 157524, 'name': 'tropical island'}]"
167,791043,[]
168,791412,[]
169,793064,[]
170,793073,[]
171,793074,[]
172,792662,[]
173,800230,"[{'id': 9410, 'name': 'hybrid'}, {'id': 11524, 'name': 'in the closet'}, {'id': 18068, 'name': 'teenage boy'}, {'id': 185861, 'name': 'glitch'}, {'id': 206522, 'name': 'still photography'}, {'id': 208733, 'name': 'video art'}, {'id': 229114, 'name': 'straight men'}]"
