,id,title,release_date,vote_average,vote_count
113,776561,Strawberry Mansion,2021-01-29,6.6,8
114,791390,30 Rojullo Preminchadam Ela?,2021-01-29,6.0,1
115,791755,Heiskuja,2021-01-29,0.0,0
116,791757,The Trim,2021-01-29,0.0,0
117,791793,Light Snatcher,2021-01-29,0.0,0
118,792166,Leonardo DiCaprio: Most Wanted!,2021-01-29,7.0,11
119,791366,Basta,2021-01-29,0.0,0
120,776554,President,2021-01-29,7.0,3
121,776561,Strawberry Mansion,2021-01-29,6.6,8
122,776151,Haymaker,2021-01-29,3.5,5
123,735476,Hollywood.Con,2021-01-29,5.0,3
124,768287,La Lévitation de la princesse Karnak,2021-01-29,0.0,0
125,791755,Heiskuja,2021-01-29,0.0,0
126,791757,The Trim,2021-01-29,0.0,0
127,791793,Light Snatcher,2021-01-29,0.0,0
128,791366,Basta,2021-01-29,0.0,0
129,791390,30 Rojullo Preminchadam Ela?,2021-01-29,6.0,1
130,792166,Leonardo DiCaprio: Most Wanted!,2021-01-29,7.0,11
131,793896,Triassic Hunt,2021-01-29,5.5,42
132,794694,Awal & Akhir,2021-01-29,0.0,0
133,792662,Epic The Judge,2021-01-29,0.0,0
134,791135,Unfollower,2021-01-29,3.5,2
135,793064,Under Control,2021-01-29,0.0,0
136,793073,Ellipsis,2021-01-29,0.0,0
137,793074,Observe These Words,2021-01-29,0.0,0
138,789474,"When I Grow Up, I Want to Be a Pornstar",2021-01-29,6.5,4
139,800595,Jai Sena,2021-01-29,0.0,0
140,811078,Narvalos,2021-01-29,0.0,0
141,847313,The Rooftop,2021-01-29,0.0,0
142,799304,Santiago 1973-2019,2021-01-29,0.0,0
143,805431,A Leopard's Legacy,2021-01-29,0.0,0
144,719770,No Witnesses,2021-01-29,0.0,0
145,722913,Malcolm & Marie,2021-01-29,7.1,988
146,797179,Austin City Limits: The Best of Spoon,2021-01-29,0.0,0
147,796713,"Sécurité Globale, de quel droit ?",2021-01-29,0.0,0
148,800230,Honeypot,2021-01-29,9.0,1
149,819346,Трохи нижче неба,2021-01-29,0.0,0
150,779179,Apollo 11: Quarantine,2021-01-29,6.0,1
151,782269,End of the Line: The Women of Standing Rock,2021-01-29,0.0,0
152,644092,Finding 'Ohana,2021-01-29,6.5,285
153,786217,Rendezvous mit einem Riesenkraken,2021-01-29,10.0,1
154,794302,A Fine Pavement,2021-01-29,0.0,0
155,798215,Cheppina Evaru Nammaru,2021-01-29,0.0,0
156,809786,Messages 2,2021-01-29,0.0,0
157,785910,Belgrade Forest Incident …and What Happened to Mr. K?,2021-01-29,0.0,0
158,785913,Donner - Private,2021-01-29,7.0,1
159,785920,Marika's Passing,2021-01-29,6.5,2
160,791505,Jimmy Eat World: Phoenix Sessions - Chapter V - Futures,2021-01-29,0.0,0
161,791521,Contágio,2021-01-29,0.0,0
162,791526,Roulette,2021-01-29,0.0,0
163,791553,Let Me Have A Good Time,2021-01-29,0.0,0
164,794694,Awal & Akhir,2021-01-29,0.0,0
165,799304,Santiago 1973-2019,2021-01-29,0.0,0
166,786217,Rendezvous mit einem Riesenkraken,2021-01-29,10.0,1
167,794302,A Fine Pavement,2021-01-29,0.0,0
168,798215,Cheppina Evaru Nammaru,2021-01-29,0.0,0
169,782269,End of the Line: The Women of Standing Rock,2021-01-29,0.0,0
170,779179,Apollo 11: Quarantine,2021-01-29,6.0,1
171,793064,Under Control,2021-01-29,0.0,0
172,793073,Ellipsis,2021-01-29,0.0,0
173,793074,Observe These Words,2021-01-29,0.0,0
174,793896,Triassic Hunt,2021-01-29,5.5,42
175,792662,Epic The Judge,2021-01-29,0.0,0
176,797179,Austin City Limits: The Best of Spoon,2021-01-29,0.0,0
177,826154,The Duchess Carpathia Bouffray: Alternative FAQs,2021-01-29,0.0,0
178,805431,A Leopard's Legacy,2021-01-29,0.0,0
179,722805,The Master Plan,2021-01-29,8.0,1
